timestamp,value
1558128780,192
1558128781,194
1558128782,189
1558128783,168
1558128784,184
1558128785,187
1558128786,168
1558128787,183
1558128788,167
1558128789,164
1558128790,191
1558128791,197
1558128792,200
1558128793,199
1558128794,195
1558128795,194
1558128796,198
1558128797,186
1558128798,163
1558128799,196
1558128800,187
1558128801,162
1558128802,185
1558128803,171
1558128804,181
1558128805,171
1558128806,168
1558128807,201
1558128808,165
1558128809,161
1558128810,201
1558128811,176
1558128812,158
1558128813,193
1558128814,174
1558128815,173
1558128816,201
1558128817,186
1558128818,170
1558128819,178
1558128820,208
1558128821,189
1558128822,184
1558128823,185
1558128824,169
1558128825,162
1558128826,196
1558128827,198
1558128828,164
1558128829,168
1558128830,159
1558128831,188
1558128832,176
1558128833,210
1558128834,164
1558128835,189
1558128836,193
1558128837,160
1558128838,165
1558128839,192
1558128840,187
1558128841,163
1558128842,183
1558128843,195
1558128844,208
1558128845,164
1558128846,164
1558128847,202
1558128848,194
1558128849,160
1558128850,193
1558128851,208
1558128852,193
1558128853,203
1558128854,185
1558128855,209
1558128856,206
1558128857,188
1558128858,197
1558128859,166
1558128860,195
1558128861,161
1558128862,198
1558128863,154
1558128864,195
1558128865,183
1558128866,160
1558128867,176
1558128868,200
1558128869,184
1558128870,179
1558128871,185
1558128872,163
1558128873,186
1558128874,176
1558128875,181
1558128876,197
1558128877,158
1558128878,169
1558128879,194
1558128880,161
1558128881,181
1558128882,163
1558128883,186
1558128884,158
1558128885,166
1558128886,198
1558128887,193
1558128888,196
1558128889,159
1558128890,167
1558128891,199
1558128892,173
1558128893,182
1558128894,193
1558128895,196
1558128896,162
1558128897,167
1558128898,164
1558128899,184
1558128900,163
1558128901,167
1558128902,194
1558128903,205
1558128904,188
1558128905,187
1558128906,195
1558128907,198
1558128908,166
1558128909,194
1558128910,159
1558128911,201
1558128912,197
1558128913,161
1558128914,167
1558128915,171
1558128916,207
1558128917,187
1558128918,161
1558128919,164
1558128920,155
1558128921,195
1558128922,164
1558128923,159
1558128924,201
1558128925,203
1558128926,162
1558128927,198
1558128928,172
1558128929,159
1558128930,166
1558128931,189
1558128932,184
1558128933,166
1558128934,181
1558128935,163
1558128936,184
1558128937,200
1558128938,191
1558128939,186
1558128940,165
1558128941,163
1558128942,171
1558128943,186
1558128944,167
1558128945,182
1558128946,180
1558128947,196
1558128948,197
1558128949,198
1558128950,170
1558128951,161
1558128952,165
1558128953,203
1558128954,209
1558128955,161
1558128956,207
1558128957,167
1558128958,195
1558128959,188
1558128960,174
1558128961,171
1558128962,203
1558128963,177
1558128964,181
1558128965,206
1558128966,180
1558128967,186
1558128968,204
1558128969,183
1558128970,180
1558128971,165
1558128972,185
1558128973,198
1558128974,190
1558128975,199
1558128976,193
1558128977,189
1558128978,211
1558128979,190
1558128980,189
1558128981,195
1558128982,177
1558128983,212
1558128984,197
1558128985,192
1558128986,163
1558128987,185
1558128988,192
1558128989,216
1558128990,169
1558128991,162
1558128992,193
1558128993,195
1558128994,167
1558128995,202
1558128996,193
1558128997,166
1558128998,174
1558128999,195
1558129000,215
1558129001,163
1558129002,206
1558129003,200
1558129004,206
1558129005,206
1558129006,167
1558129007,174
1558129008,160
1558129009,176
1558129010,182
1558129011,177
1558129012,181
1558129013,198
1558129014,174
1558129015,161
1558129016,179
1558129017,184
1558129018,160
1558129019,204
1558129020,172
1558129021,202
1558129022,193
1558129023,180
1558129024,164
1558129025,189
1558129026,205
1558129027,170
1558129028,203
1558129029,199
1558129030,215
1558129031,206
1558129032,168
1558129033,160
1558129034,184
1558129035,166
1558129036,187
1558129037,182
1558129038,191
1558129039,188
1558129040,200
1558129041,163
1558129042,206
1558129043,163
1558129044,169
1558129045,161
1558129046,164
1558129047,179
1558129048,181
1558129049,188
1558129050,165
1558129051,198
1558129052,169
1558129053,199
1558129054,193
1558129055,202
1558129056,210
1558129057,167
1558129058,189
1558129059,178
1558129060,198
1558129061,169
1558129062,187
1558129063,182
1558129064,190
1558129065,186
1558129066,160
1558129067,196
1558129068,162
1558129069,193
1558129070,174
1558129071,166
1558129072,175
1558129073,179
1558129074,209
1558129075,187
1558129076,165
1558129077,162
1558129078,206
1558129079,179
1558129080,163
1558129081,160
1558129082,204
1558129083,165
1558129084,172
1558129085,202
1558129086,179
1558129087,168
1558129088,195
1558129089,190
1558129090,184
1558129091,195
1558129092,194
1558129093,165
1558129094,207
1558129095,200
1558129096,210
1558129097,164
1558129098,163
1558129099,190
1558129100,178
1558129101,179
1558129102,172
1558129103,193
1558129104,210
1558129105,187
1558129106,186
1558129107,163
1558129108,192
1558129109,190
1558129110,171
1558129111,174
1558129112,160
1558129113,167
1558129114,194
1558129115,192
1558129116,176
1558129117,161
1558129118,188
1558129119,163
1558129120,197
1558129121,210
1558129122,165
1558129123,160
1558129124,209
1558129125,186
